Timestamp,acc.z,pm.vbat,stabilizer.intToOut,stabilizer.thrust,stateEstimate.az
48443,1.138386845588684,3.3255133628845215,47859451,52000.0,0.13149094581604004
48453,1.1362320184707642,3.3255133628845215,47869339,52000.0,0.13040149211883545
48463,1.1296241283416748,3.3149561882019043,47879225,52000.0,0.12706458568572998
48473,1.119698166847229,3.3149561882019043,47889109,52000.0,0.12459886074066162
48483,1.0957403182983398,3.3255133628845215,47899000,52000.0,0.09770643711090088
48493,1.0811827182769775,3.3255133628845215,47908886,52000.0,0.08163762092590332
48503,1.0825252532958984,3.3255133628845215,47918771,52000.0,0.07572400569915771
48513,1.1062793731689453,3.33079195022583,47928659,52000.0,0.09994888305664062
48523,1.1146976947784424,3.3360705375671387,47938556,52000.0,0.10938823223114014
48533,1.0947080850601196,3.3255133628845215,47948438,52000.0,0.08988070487976074
48543,1.1072351932525635,3.3255133628845215,47958327,52000.0,0.10235261917114258
48553,1.0975673198699951,3.346627712249756,47968210,52000.0,0.09675204753875732
48563,1.1217845678329468,3.346627712249756,47978104,52000.0,0.11801707744598389
48573,1.1078743934631348,3.3624634742736816,47987993,52000.0,0.10588204860687256
48583,1.123887062072754,3.3677420616149902,47997879,52000.0,0.11039435863494873
48593,1.1297894716262817,3.373020648956299,48007764,52000.0,0.10196554660797119
48603,1.1934261322021484,3.3782992362976074,48017649,52000.0,0.15096521377563477
48613,1.2060153484344482,3.3782992362976074,48027537,52000.0,0.14734697341918945
48623,1.214843511581421,3.3782992362976074,48037425,52000.0,0.13674116134643555
48633,1.1750582456588745,3.3782992362976074,48047312,52000.0,0.06632006168365479
48643,1.1614564657211304,3.3782992362976074,48057209,52000.0,0.020052313804626465
48653,1.1241494417190552,3.3782992362976074,48067090,52000.0,-0.03428614139556885
48663,1.0693931579589844,3.357184886932373,48076982,52000.0,-0.13005447387695312
48673,1.04917573928833,3.3360705375671387,48086865,52000.0,-0.15079909563064575
48683,1.0600351095199585,3.3360705375671387,48096758,52000.0,-0.14579111337661743
48693,1.0233045816421509,3.3360705375671387,48106642,52000.0,-0.17762601375579834
48703,0.995483934879303,3.3519062995910645,48116529,52000.0,-0.2165008783340454
48713,1.0106101036071777,3.3519062995910645,48126416,52000.0,-0.19891571998596191
48723,0.9970124363899231,3.3677420616149902,48136305,52000.0,-0.18302583694458008
48733,1.008545994758606,3.357184886932373,48146192,52000.0,-0.13890337944030762
48743,0.9971770644187927,3.357184886932373,48156083,52000.0,-0.10629129409790039
48753,1.0294179916381836,3.3360705375671387,48165967,52000.0,-0.05681419372558594
